id,name,signup_date,user_type,free_rides,total_rides
1092444312430919681,ise19team29,"13/03/2019 10:54",1,100000,0
1105505463234379778,TomTonner3,"13/03/2019 12:37",2,2,0
835530127568154624,"Simonas Petkevičius","20/03/2019 12:18",0,0,0
12094109210,Gerald,"20/03/2019 11:50",1,10,0
3518957376,Gerald,"20/03/2019 11:50",1,10,0
1109074554515873792,kassycy,"25/03/2019 14:34",2,0,0
3301792117,"Manas Sarpatwar","29/03/2019 14:44",2,0,5
1117546537159200768,AltaTaxisManchester,"15/04/2019 16:20",2,0,0
